r,s
0.0,-1.3258176636680326
0.1,-1.3256337048768772
0.2,-1.3254494751721517
0.30000000000000004,-1.325264973967492
0.4,-1.325080200674879
0.5,-1.3248951547046324
0.6000000000000001,-1.3247098354654046
0.7000000000000001,-1.3245242423641752
0.8,-1.3243383748062454
0.9,-1.3241522321952321
1.0,-1.3239658139330621
1.1,-1.3237791194199662
1.2000000000000002,-1.3235921480544728
1.3,-1.3234048992334029
1.4000000000000001,-1.3232173723518643
1.5,-1.3230295668032446
1.6,-1.3228414819792058
1.7000000000000002,-1.3226531172696787
1.8,-1.3224644720628562
1.9000000000000001,-1.322275545745188
2.0,-1.3220863377013738
2.1,-1.3218968473143575
2.2,-1.3217070739653212
2.3000000000000003,-1.3215170170336794
2.4000000000000004,-1.3213266758970719
2.5,-1.3211360499313582
2.6,-1.3209451385106121
2.7,-1.3207539410071134
2.8000000000000003,-1.3205624567913437
2.9000000000000004,-1.3203706852319788
3.0,-1.3201786256958834
3.1,-1.3199862775481037
3.2,-1.319793640151862
3.3000000000000003,-1.3196007128685496
3.4000000000000004,-1.3194074950577208
3.5,-1.3192139860770864
3.6,-1.319020185282507
3.7,-1.3188260920279866
3.8000000000000003,-1.3186317056656667
3.9000000000000004,-1.3184370255458182
4.0,-1.3182420510168371
4.1000000000000005,-1.3180467814252357
4.2,-1.317851216115637
4.3,-1.3176553544307688
4.4,-1.317459195711455
4.5,-1.3172627392966105
4.6000000000000005,-1.3170659845232349
4.7,-1.3168689307264034
4.800000000000001,-1.3166715772392625
4.9,-1.3164739233930218
5.0,-1.3162759685169476
5.1000000000000005,-1.3160777119383562
5.2,-1.315879152982606
5.300000000000001,-1.3156802909730918
5.4,-1.3154811252312373
5.5,-1.3152816550764883
5.6000000000000005,-1.3150818798263055
5.7,-1.3148817987961572
5.800000000000001,-1.3146814112995124
5.9,-1.3144807166478347
6.0,-1.314279714150573
6.1000000000000005,-1.3140784031151567
6.2,-1.3138767828469866
6.300000000000001,-1.313674852649429
6.4,-1.313472611823808
6.5,-1.3132700596693976
6.6000000000000005,-1.3130671954834154
6.7,-1.3128640185610145
6.800000000000001,-1.3126605281952768
6.9,-1.3124567236772047
7.0,-1.3122526042957148
7.1000000000000005,-1.312048169337629
7.2,-1.3118434180876686
7.300000000000001,-1.3116383498284452
7.4,-1.311432963840455
7.5,-1.3112272594020689
7.6000000000000005,-1.311021235789527
7.7,-1.3108148922769294
7.800000000000001,-1.3106082281362297
7.9,-1.3104012426372265
8.0,-1.3101939350475558
8.1,-1.3099863046326832
8.200000000000001,-1.3097783506558964
8.3,-1.3095700723782975
8.4,-1.3093614690587938
8.5,-1.3091525399540918
8.6,-1.3089432843186874
8.700000000000001,-1.3087337014048597
8.8,-1.3085237904626612
8.9,-1.3083135507399115
9.0,-1.3081029814821874
9.1,-1.3078920819328168
9.200000000000001,-1.3076808513328686
9.3,-1.307469288921146
9.4,-1.307257393934177
9.5,-1.3070451656062074
9.600000000000001,-1.3068326031691921
9.700000000000001,-1.3066197058527858
9.8,-1.3064064728843363
9.9,-1.3061929034888746
10.0,-1.3059789968891078
10.100000000000001,-1.3057647523054092
10.200000000000001,-1.3055501689558109
10.3,-1.3053352460559955
10.4,-1.3051199828192857
10.5,-1.304904378456638
10.600000000000001,-1.3046884321766328
10.700000000000001,-1.3044721431854653
10.8,-1.3042555106869385
10.9,-1.304038533882452
11.0,-1.3038212119709955
11.100000000000001,-1.303603544149139
11.200000000000001,-1.303385529611023
11.3,-1.3031671675483518
11.4,-1.3029484571503824
11.5,-1.302729397603917
11.600000000000001,-1.3025099880932927
11.700000000000001,-1.3022902278003738
11.8,-1.3020701159045418
11.9,-1.3018496515826863
12.0,-1.3016288340091962
12.100000000000001,-1.3014076623559503
12.200000000000001,-1.3011861357923082
12.3,-1.3009642534851007
12.4,-1.3007420145986204
12.5,-1.3005194182946131
12.600000000000001,-1.3002964637322676
12.700000000000001,-1.3000731500682063
12.8,-1.299849476456476
12.9,-1.2996254420485387
13.0,-1.2994010459932608
13.100000000000001,-1.299176287436905
13.200000000000001,-1.2989511655231196
13.3,-1.2987256793929292
13.4,-1.2984998281847244
13.5,-1.2982736110342539
13.600000000000001,-1.2980470270746114
13.700000000000001,-1.297820075436229
13.8,-1.2975927552468658
13.9,-1.2973650656315971
14.0,-1.2971370057128062
14.100000000000001,-1.2969085746101734
14.200000000000001,-1.2966797714406662
14.3,-1.2964505953185284
14.4,-1.2962210453552712
14.5,-1.295991120659662
14.600000000000001,-1.2957608203377147
14.700000000000001,-1.295530143492679
14.8,-1.2952990892250305
14.9,-1.2950676566324597
15.0,-1.2948358448098625
15.100000000000001,-1.2946036528493283
15.200000000000001,-1.2943710798401311
15.3,-1.294138124868718
15.4,-1.2939047870186986
15.5,-1.2936710653708345
15.600000000000001,-1.2934369590030284
15.700000000000001,-1.293202466990314
15.8,-1.2929675884048444
15.9,-1.2927323223158815
16.0,-1.2924966677897853
16.1,-1.292260623890003
16.2,-1.2920241896770577
16.3,-1.2917873642085373
16.400000000000002,-1.291550146539084
16.5,-1.2913125357203827
16.6,-1.29107453080115
16.7,-1.2908361308271226
16.8,-1.290597334841046
16.900000000000002,-1.2903581418826646
17.0,-1.2901185509887085
17.1,-1.2898785611928825
17.2,-1.2896381715258551
17.3,-1.2893973810152473
17.400000000000002,-1.2891561886856195
17.5,-1.288914593558462
17.6,-1.2886725946521813
17.7,-1.2884301909820892
17.8,-1.2881873815603921
17.900000000000002,-1.287944165396177
18.0,-1.287700541495401
18.1,-1.2874565088608798
18.2,-1.2872120664922742
18.3,-1.286967213386079
18.400000000000002,-1.2867219485356112
18.5,-1.2864762709309971
18.6,-1.2862301795591606
18.7,-1.2859836734038108
18.8,-1.285736751445429
18.900000000000002,-1.2854894126612582
19.0,-1.285241656025288
19.1,-1.2849934805082452
19.200000000000003,-1.2847448850775784
19.3,-1.2844958686974475
19.400000000000002,-1.2842464303287093
19.5,-1.2839965689289072
19.6,-1.2837462834522557
19.700000000000003,-1.2834955728496293
19.8,-1.2832444360685495
19.900000000000002,-1.2829928720531714
20.0,-1.2827408797442708
20.1,-1.2824884580792315
20.200000000000003,-1.2822356059920321
20.3,-1.2819823224132323
20.400000000000002,-1.2817286062699607
20.5,-1.2814744564859004
20.6,-1.2812198719812768
20.700000000000003,-1.2809648516728434
20.8,-1.2807093944738686
20.900000000000002,-1.280453499294122
21.0,-1.2801971650398616
21.1,-1.279940390613819
21.200000000000003,-1.2796831749151865
21.3,-1.2794255168396036
21.400000000000002,-1.2791674152791421
21.5,-1.2789088691222938
21.6,-1.2786498772539545
21.700000000000003,-1.2783904385554123
21.8,-1.2781305519043316
21.900000000000002,-1.27787021617474
22.0,-1.2776094302370145
22.1,-1.2773481929578656
22.200000000000003,-1.2770865032003251
22.3,-1.2768243598237299
22.400000000000002,-1.2765617616837088
22.5,-1.2762987076321675
22.6,-1.276035196517274
22.700000000000003,-1.275771227183444
22.8,-1.2755067984713262
22.900000000000002,-1.2752419092177878
23.0,-1.2749765582558992
23.1,-1.2747107444149197
23.200000000000003,-1.2744444665202819
23.3,-1.2741777233935767
23.400000000000002,-1.2739105138525393
23.5,-1.2736428367110324
23.6,-1.2733746907790322
23.700000000000003,-1.2731060748626124
23.8,-1.2728369877639294
23.900000000000002,-1.272567428281206
24.0,-1.2722973952087173
24.1,-1.2720268873367735
